Estacao	Data	Hora	Precipitacao	TempMaxima	TempMinima
82578	1/2/66	1200	97.2		22.3
82578	13/03/2001	1200	96.7		21
82578	13/01/2014	1200	96.4		
82578	27/03/1991	1200	92.3		21.9
82578	2/11/11	1200	92.2		21.5
82578	20/04/1965	1200	91.9		22.4
82578	31/03/2008	1200	91.2		21.5
82578	1/5/06	1200	90.2		22.4
82578	15/03/1966	1200	9.9		22.6
82578	4/1/84	1200	9.9		22.7
82578	2/4/05	1200	9.9		22.8
82578	31/12/1966	1200	9.9		22.9
82578	10/1/06	1200	9.9		23.2
82578	3/5/93	1200	9.8		22
82578	12/3/09	1200	9.8		21.5
82578	4/6/09	1200	9.8		21.8
82578	23/04/2009	1200	9.8		22.1
82578	16/01/2012	1200	9.8		22.1
82578	15/02/2013	1200	9.8		22.4
82578	22/04/1961	1200	9.8		22.7
82578	15/05/1977	1200	9.8		23.2
82578	2/2/97	1200	9.8		23.4
82578	5/4/78	1200	9.8		23.5
82578	2/4/10	1200	9.8		23.5
82578	27/05/2015	1200	9.8		24.4
82578	21/02/1982	1200	9.7		22
82578	14/02/2009	1200	9.7		22
82578	8/1/97	1200	9.7		21.8
82578	22/03/1993	1200	9.7		22.1
82578	12/3/20	1200	9.7		22.8
82578	26/02/1995	1200	9.7		23.1
82578	2/3/64	1200	9.7		23.3
82578	26/01/1992	1200	9.7		
82578	3/2/62	1200	9.6		22
82578	20/01/1999	1200	9.6		22
82578	23/05/2009	1200	9.6		22
82578	11/3/00	1200	9.6		23
82578	8/5/15	1200	9.6		24
82578	26/10/2011	1200	9.6		21.5
82578	25/03/2011	1200	9.6		22.1
82578	14/02/1981	1200	9.6		22.3
82578	6/3/88	1200	9.6		22.6
82578	15/04/1994	1200	9.6		22.6
82578	9/5/08	1200	9.6		22.7
82578	1/1/80	1200	9.6		23.3
82578	27/03/1994	1200	9.6		23.4
82578	7/3/13	1200	9.6		23.5
82578	18/05/2005	1200	9.6		24.2
82578	6/5/11	1200	9.6		24.5
82578	9/4/64	1200	9.5		22.5
82578	3/3/00	1200	9.5		22.6
82578	8/4/04	1200	9.5		22.8
82578	30/05/2014	1200	9.5		22.8
82578	27/04/1989	1200	9.5		23.2
82578	24/02/2005	1200	9.5		23.3
82578	30/01/1992	1200	9.5		
82578	18/02/2006	1200	9.4		22
82578	1/5/92	1200	9.4		23
82578	3/3/08	1200	9.4		21.3
82578	17/02/2013	1200	9.4		21.3
82578	21/01/2008	1200	9.4		21.6
82578	22/01/2011	1200	9.4		21.9
82578	14/01/2019	1200	9.4		22.1
82578	3/4/62	1200	9.4		22.2
82578	5/11/86	1200	9.4		22.2
82578	26/06/1995	1200	9.4		22.3
82578	25/02/2006	1200	9.4		22.4
82578	19/02/1961	1200	9.4		22.6
82578	13/02/1997	1200	9.4		22.6
82578	16/12/2000	1200	9.4		22.6
82578	8/5/78	1200	9.4		22.7
82578	27/04/1996	1200	9.4		22.8
82578	21/03/2020	1200	9.4		22.8
82578	26/01/1968	1200	9.4		23.1
82578	28/03/1991	1200	9.4		23.1
82578	5/4/64	1200	9.4		23.2
82578	27/03/1965	1200	9.4		23.4
82578	1/12/93	1200	9.4		23.5
82578	21/04/1995	1200	9.4		23.6
82578	30/12/1994	1200	9.4		23.7
82578	29/04/2014	1200	9.4		23.7
82578	6/3/84	1200	9.3		21
82578	21/04/2008	1200	9.3		22
82578	25/05/1996	1200	9.3		23
82578	16/02/2001	1200	9.3		23
82578	26/05/1964	1200	9.3		24
82578	5/1/84	1200	9.3		22.3
82578	27/01/1964	1200	9.3		22.4
82578	13/03/1978	1200	9.3		22.4
82578	4/4/86	1200	9.3		22.5
82578	29/04/1986	1200	9.3		23.2
82578	3/4/97	1200	9.3		23.2
82578	29/02/1996	1200	9.3		
82578	23/01/2003	1200	9.2		24
82578	7/4/87	1200	9.2		21.5
82578	11/4/76	1200	9.2		21.6
